State,County,inc2013,inc2014,inc2015,stateRank,pctChg2014,pctChg2015,stateRankChg
AL,,35770.00,36930.00,38030.00,,3.2,3,
AL,Autauga,35345.00,36571.00,37773.00,8,3.5,3.3,26
AL,Baldwin,37727.00,39028.00,40121.00,5,3.4,2.8,40
AL,Barbour,30081.00,30197.00,31443.00,46,0.4,4.1,6
AL,Bibb,27375.00,28127.00,29075.00,62,2.7,3.4,22
AL,Blount,29846.00,30946.00,31663.00,42,3.7,2.3,55
AL,Bullock,26008.00,25350.00,25929.00,67,-2.5,2.3,56
AL,Butler,31572.00,32775.00,33518.00,31,3.8,2.3,57
AL,Calhoun,31347.00,32448.00,33418.00,32,3.5,3,37
AL,Chambers,29498.00,30271.00,31282.00,48,2.6,3.3,23
AL,Cherokee,30660.00,31688.00,32645.00,35,3.4,3,35
AL,Chilton,29508.00,30304.00,31380.00,47,2.7,3.6,15
AL,Choctaw,29135.00,30025.00,31046.00,51,3.1,3.4,19
AL,Clarke,29823.00,31193.00,31877.00,40,4.6,2.2,58
AL,Clay,30484.00,31720.00,32965.00,34,4.1,3.9,11
AL,Cleburne,29942.00,30692.00,31209.00,49,2.5,1.7,61
AL,Coffee,37126.00,37974.00,38929.00,6,2.3,2.5,49
AL,Colbert,33566.00,34957.00,35831.00,17,4.1,2.5,50
AL,Conecuh,28754.00,28624.00,29643.00,59,-0.5,3.6,14
AL,Coosa,26605.00,27340.00,28651.00,65,2.8,4.8,2
AL,Covington,30347.00,31196.00,31581.00,45,2.8,1.2,64
AL,Crenshaw,32065.00,32889.00,34228.00,25,2.6,4.1,7
AL,Cullman,34141.00,34950.00,35923.00,16,2.4,2.8,41
AL,Dale,33416.00,33608.00,34107.00,26,0.6,1.5,63
AL,Dallas,30035.00,30371.00,31595.00,44,1.1,4,8
AL,DeKalb,27818.00,28751.00,29621.00,60,3.4,3,34
AL,Elmore,35447.00,36334.00,37561.00,10,2.5,3.4,21
AL,Escambia,28743.00,29590.00,30342.00,57,2.9,2.5,48
AL,Etowah,31680.00,32943.00,34086.00,27,4,3.5,16
AL,Fayette,28193.00,29109.00,30426.00,56,3.2,4.5,4
AL,Franklin,29425.00,30630.00,31614.00,43,4.1,3.2,28
AL,Geneva,30513.00,31267.00,32155.00,38,2.5,2.8,39
AL,Greene,31793.00,29843.00,31029.00,52,-6.1,4,10
AL,Hale,33319.00,33215.00,34726.00,23,-0.3,4.5,3
AL,Henry,34313.00,35044.00,35727.00,19,2.1,1.9,59
AL,Houston,36433.00,37288.00,38284.00,7,2.3,2.7,45
AL,Jackson,32119.00,33084.00,33930.00,29,3,2.6,47
AL,Jefferson,44605.00,46426.00,47718.00,2,4.1,2.8,42
AL,Lamar,28944.00,29333.00,30593.00,55,1.3,4.3,5
AL,Lauderdale,32838.00,34341.00,35189.00,22,4.6,2.5,53
AL,Lawrence,31016.00,31964.00,32320.00,37,3.1,1.1,65
AL,Lee,31413.00,32509.00,33622.00,30,3.5,3.4,17
AL,Limestone,35802.00,36360.00,37260.00,11,1.6,2.5,52
AL,Lowndes,35070.00,36519.00,37720.00,9,4.1,3.3,25
AL,Macon,29275.00,30431.00,31191.00,50,3.9,2.5,51
AL,Madison,43391.00,44642.00,45836.00,3,2.9,2.7,44
AL,Marengo,34093.00,35186.00,35761.00,18,3.2,1.6,62
AL,Marion,26918.00,28206.00,28972.00,64,4.8,2.7,43
AL,Marshall,31049.00,32143.00,32996.00,33,3.5,2.7,46
AL,Mobile,33459.00,34190.00,35348.00,20,2.2,3.4,20
AL,Monroe,28855.00,29829.00,30784.00,53,3.4,3.2,29
AL,Montgomery,37961.00,39184.00,40474.00,4,3.2,3.3,24
AL,Morgan,33956.00,35237.00,36345.00,13,3.8,3.1,32
AL,Perry,29336.00,28029.00,29414.00,61,-4.5,4.9,1
AL,Pickens,31570.00,30152.00,30139.00,58,-4.5,0,67
AL,Pike,31599.00,33959.00,35323.00,21,7.5,4,9
AL,Randolph,29846.00,31581.00,32119.00,39,5.8,1.7,60
AL,Russell,27921.00,27955.00,29001.00,63,0.1,3.7,12
AL,St. Clair,32020.00,33395.00,34400.00,24,4.3,3,36
AL,Shelby,45703.00,47730.00,49212.00,1,4.4,3.1,33
AL,Sumter,30379.00,30445.00,30695.00,54,0.2,0.8,66
AL,Talladega,29635.00,30827.00,31805.00,41,4,3.2,30
AL,Tallapoosa,34184.00,34756.00,35942.00,15,1.7,3.4,18
AL,Tuscaloosa,33897.00,34994.00,36016.00,14,3.2,2.9,38
AL,Walker,34737.00,35763.00,37056.00,12,3,3.6,13
AL,Washington,31734.00,32962.00,34007.00,28,3.9,3.2,31
AL,Wilcox,29108.00,27483.00,28128.00,66,-5.6,2.3,54
AL,Winston,29720.00,31511.00,32545.00,36,6,3.3,27
